City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,43.16,96,100,32.3,TF,1717872420
1,weno,7.4515,151.8468,82.35,83,75,4.61,FM,1717872420
2,enewetak,11.3474,162.3373,82.69,81,31,15.01,MH,1717872420
3,salekhard,66.53,66.6019,33.4,80,24,7.0,RU,1717872420
4,tiksi,71.6872,128.8694,32.09,90,57,8.79,RU,1717872420
5,albany,42.6001,-73.9662,69.8,63,41,1.99,US,1717872210
6,invercargill,-46.4,168.35,45.01,88,100,4.0,NZ,1717872420
7,hermanus,-34.4187,19.2345,49.8,77,0,6.08,ZA,1717872420
8,sharlyk,52.9167,54.75,62.83,91,100,10.18,RU,1717872420
9,martuk,50.7475,56.5056,64.63,86,97,7.61,KZ,1717872420
10,choibalsan,48.0667,114.5,51.55,71,27,2.89,MN,1717872420
11,ushuaia,-54.8,-68.3,37.06,70,20,13.8,AR,1717872420
12,blackmans bay,-43.0167,147.3167,47.73,92,3,8.61,AU,1717872420
13,polyarnyy,69.1989,33.4478,40.24,85,100,15.46,RU,1717872421
14,vilyuchinsk,52.9306,158.4028,53.87,72,100,8.81,RU,1717872421
15,yellowknife,62.456,-114.3525,52.32,46,100,12.66,CA,1717872390
16,west island,-12.1568,96.8225,80.58,83,100,13.8,CC,1717872421
17,bandon,51.7469,-8.7425,60.39,73,5,12.19,IE,1717872421
18,sevilla,37.3824,-5.9761,74.07,60,20,14.97,ES,1717872351
19,jamestown,42.097,-79.2353,70.02,43,40,21.85,US,1717872212
20,kodiak,57.79,-152.4072,45.91,87,100,26.46,US,1717872421
21,waitangi,-43.9535,-176.5597,47.82,83,5,5.99,NZ,1717872421
22,sarmiento,-45.5882,-69.07,46.0,79,100,6.26,AR,1717872283
23,aasiaat,68.7098,-52.8699,35.31,83,12,8.3,GL,1717872421
24,adamstown,-25.066,-130.1015,72.95,82,11,11.12,PN,1717872380
25,cadale,2.7603,46.3222,79.56,83,45,16.17,SO,1717872421
26,naze,28.3667,129.4833,74.32,92,95,8.41,JP,1717872421
27,benghazi,32.1167,20.0667,75.33,69,0,13.33,LY,1717872421
28,ciudad bolivar,8.1222,-63.5497,91.36,48,90,1.3,VE,1717872421
29,mahavelona,-17.6848,49.5087,66.18,90,30,4.21,MG,1717872421
30,alice springs,-23.7,133.8833,38.75,93,0,4.61,AU,1717872421
31,olonkinbyen,70.9221,-8.7187,33.75,93,71,11.77,SJ,1717872421
32,hohhot,40.8106,111.6522,57.49,72,0,2.24,CN,1717872421
33,bredasdorp,-34.5322,20.0403,50.34,86,0,2.37,ZA,1717872421
34,longyearbyen,78.2186,15.6401,39.04,75,75,2.3,SJ,1717872422
35,edinburgh of the seven seas,-37.0676,-12.3116,61.2,90,100,28.97,SH,1717872422
36,thompson,55.7435,-97.8558,39.36,93,100,9.22,CA,1717872422
37,utrik,11.2278,169.8474,82.47,81,19,17.13,MH,1717872422
38,georgetown,5.4112,100.3354,84.13,73,20,4.61,MY,1717872310
39,sao vicente,-23.9631,-46.3919,89.28,88,75,5.99,BR,1717872422
40,ulladulla,-35.35,150.4667,50.43,86,57,4.56,AU,1717872422
41,grand falls-windsor,48.9332,-55.6649,59.5,82,86,6.04,CA,1717872422
42,port elizabeth,-33.918,25.5701,55.69,94,0,3.44,ZA,1717872422
43,tsiombe,-25.3,45.4833,67.21,64,100,12.44,MG,1717872422
44,ovalle,-30.5983,-71.2003,58.44,76,100,8.39,CL,1717872371
45,tazovsky,67.4667,78.7,37.99,82,94,7.9,RU,1717872422
46,iskateley,67.6803,53.1512,40.01,73,82,11.01,RU,1717872422
47,olyokminsk,60.3736,120.4264,45.12,91,97,4.45,RU,1717872422
48,turner,44.2565,-70.2562,73.58,72,97,5.99,US,1717872422
49,mpika,-11.8343,31.4529,59.09,51,0,6.76,ZM,1717872422
